salaries	NAN - NAN	2.0
days	avg	21.5
days	max	25.0
days	min	18.0
experience	От 1 года до 3 лет	1.0
experience	От 3 до 6 лет	1.0
employment	Полная занятость	2.0
schedule	Полный день	2.0
skills	Разработка ПО	1.0
skills	Управление проектами	1.0
skills	Постановка задач разработчикам	1.0
skills	руководство командой разработчиков	1.0
skills	Оценка потребностей клиентов	1.0
skills	Английский язык	1.0
skills	Agile Project Management	1.0
skills	Ведение переговоров	1.0
skills	Проведение презентаций	1.0
skills	Project management	1.0
skills	Информационные технологии	1.0
skills	Управление разработкой	1.0
skills	Web Application Development	1.0
